iter	Passed	Remaining
0	176	176228
1	193	96525
2	210	69836
3	227	56635
4	244	48605
5	266	44100
6	284	40296
7	302	37475
8	319	35214
9	336	33321
10	354	31832
11	370	30509
12	387	29388
13	404	28473
14	422	27766
15	455	28006
16	524	30346
17	715	39048
18	784	40481
19	822	40295
20	857	39987
21	898	39922
22	931	39563
23	978	39786
24	1003	39150
25	1031	38625
26	1053	37956
27	1077	37395
28	1100	36834
29	1125	36375
30	1146	35833
31	1182	35766
32	1206	35339
33	1231	34991
34	1256	34631
35	1285	34416
36	1310	34112
37	1336	33827
38	1364	33633
39	1390	33365
40	1414	33080
41	1442	32896
42	1465	32608
43	1485	32281
44	1509	32030
45	1529	31722
46	1549	31426
47	1569	31125
48	1589	30848
49	1614	30673
50	1634	30405
51	1655	30179
52	1682	30061
53	1708	29936
54	1730	29734
55	1752	29548
56	1774	29353
57	1806	29341
58	1829	29178
59	1848	28963
60	1871	28805
61	1892	28627
62	1911	28427
63	1929	28216
64	1949	28038
65	1968	27857
66	1990	27720
67	2012	27583
68	2035	27458
69	2058	27352
70	2081	27240
71	2104	27129
72	2122	26954
73	2144	26836
74	2164	26690
75	2185	26574
76	2215	26553
77	2238	26464
78	2265	26410
79	2291	26354
80	2323	26359
81	2354	26363
82	2374	26230
83	2395	26119
84	2422	26074
85	2446	25999
86	2466	25881
87	2489	25800
88	2510	25699
89	2541	25698
90	2569	25661
91	2593	25598
92	2614	25502
93	2634	25389
94	2655	25294
95	2674	25189
96	2696	25098
97	2717	25009
98	2742	24962
99	2761	24852
100	2780	24752
101	2805	24699
102	2828	24634
103	2910	25075
104	2991	25497
105	3069	25884
106	3147	26269
107	3215	26557
108	3290	26898
109	3318	26849
110	3343	26780
111	3383	26824
112	3409	26762
113	3476	27017
114	3533	27193
115	3566	27178
116	3641	27480
117	3668	27421
118	3692	27337
119	3720	27286
120	3748	27230
121	3794	27306
122	3823	27260
123	3863	27294
124	3896	27276
125	3932	27274
126	3968	27281
127	4005	27289
128	4039	27277
129	4061	27182
130	4104	27228
131	4135	27191
132	4166	27162
133	4193	27103
134	4224	27067
135	4250	27003
136	4280	26966
137	4310	26926
138	4341	26891
139	4372	26862
140	4407	26852
141	4448	26881
142	4483	26870
143	4516	26850
144	4558	26881
145	4591	26856
146	4625	26838
147	4656	26808
148	4699	26840
149	4739	26858
150	4768	26809
151	4800	26781
152	4837	26778
153	4874	26779
154	4919	26821
155	4949	26776
156	4979	26737
157	5006	26681
158	5038	26651
159	5064	26589
160	5094	26547
161	5135	26565
162	5163	26514
163	5194	26478
164	5230	26470
165	5271	26482
166	5306	26469
167	5334	26417
168	5368	26399
169	5400	26367
170	5506	26695
171	5600	26958
172	5668	27097
173	5724	27175
174	5777	27234
175	5822	27260
176	5852	27211
177	5876	27136
178	5913	27121
179	5952	27118
180	5976	27041
181	5999	26966
182	6027	26909
183	6055	26854
184	6082	26796
185	6105	26721
186	6125	26631
187	6150	26565
188	6174	26496
189	6200	26432
190	6221	26349
191	6244	26277
192	6270	26219
193	6293	26145
194	6333	26146
195	6358	26084
196	6384	26022
197	6419	26002
198	6449	25958
199	6477	25910
200	6501	25845
201	6524	25775
202	6549	25714
203	6569	25634
204	6592	25566
205	6611	25483
206	6635	25419
207	6658	25354
208	6681	25289
209	6705	25225
210	6726	25152
211	6745	25074
212	6764	24995
213	6788	24932
214	6806	24852
215	6825	24774
216	6844	24696
217	6866	24631
218	6891	24575
219	6918	24530
220	6947	24490
221	6976	24448
222	7005	24409
223	7030	24356
224	7052	24290
225	7076	24234
226	7102	24186
227	7127	24133
228	7163	24118
229	7187	24062
230	7212	24010
231	7235	23953
232	7260	23899
233	7282	23840
234	7315	23814
235	7341	23766
236	7362	23702
237	7384	23641
238	7408	23589
239	7459	23621
240	7482	23566
241	7505	23510
242	7532	23465
243	7565	23441
244	7590	23392
245	7614	23339
246	7645	23309
247	7677	23279
248	7698	23217
249	7721	23164
250	7741	23102
251	7764	23045
252	7789	22998
253	7808	22933
254	7826	22866
255	7846	22803
256	7865	22739
257	7888	22687
258	7910	22631
259	7929	22568
260	7948	22504
261	7967	22444
262	7988	22386
263	8012	22337
264	8030	22272
265	8049	22211
266	8068	22150
267	8086	22087
268	8105	22026
269	8126	21972
270	8146	21913
271	8168	21861
272	8186	21801
273	8209	21751
274	8228	21693
275	8248	21636
276	8267	21579
277	8292	21537
278	8351	21582
279	8452	21735
280	8540	21853
281	8602	21903
282	8645	21903
283	8670	21859
284	8690	21802
285	8710	21746
286	8731	21690
287	8753	21641
288	8780	21601
289	8805	21558
290	8829	21511
291	8853	21466
292	8875	21417
293	8898	21368
294	8917	21310
295	8936	21253
296	8957	21201
297	8983	21162
298	9011	21128
299	9037	21088
300	9062	21044
301	9085	20998
302	9109	20955
303	9138	20922
304	9164	20883
305	9183	20827
306	9204	20777
307	9225	20727
308	9247	20679
309	9266	20626
310	9291	20584
311	9316	20544
312	9344	20509
313	9372	20476
314	9392	20424
315	9411	20371
316	9438	20336
317	9468	20307
318	9497	20275
319	9524	20239
320	9545	20190
321	9568	20147
322	9596	20113
323	9620	20071
324	9670	20084
325	9697	20049
326	9721	20007
327	9742	19959
328	9763	19912
329	9784	19866
330	9807	19822
331	9831	19782
332	9856	19742
333	9887	19715
334	9912	19676
335	9945	19654
336	10028	19729
337	10127	19835
338	10218	19925
339	10306	20007
340	10401	20100
341	10479	20163
342	10511	20133
343	10544	20108
344	10587	20101
345	10623	20080
346	10671	20082
347	10698	20045
348	10739	20032
349	10773	20007
350	10801	19972
351	10852	19978
352	10884	19949
353	10922	19931
354	10957	19909
355	10986	19873
356	11023	19854
357	11058	19831
358	11099	19818
359	11133	19792
360	11162	19757
361	11192	19725
362	11223	19694
363	11253	19662
364	11281	19626
365	11308	19589
366	11342	19564
367	11369	19526
368	11399	19493
369	11428	19460
370	11465	19438
371	11504	19420
372	11539	19396
373	11574	19373
374	11614	19358
375	11648	19331
376	11695	19326
377	11722	19289
378	11750	19253
379	11778	19217
380	11808	19184
381	11839	19154
382	11871	19124
383	11896	19083
384	11920	19041
385	11942	18996
386	11961	18946
387	11980	18897
388	12000	18849
389	12019	18800
390	12039	18751
391	12059	18704
392	12086	18668
393	12106	18621
394	12126	18573
395	12147	18527
396	12171	18487
397	12190	18438
398	12208	18389
399	12227	18341
400	12249	18298
401	12274	18259
402	12303	18226
403	12325	18182
404	12342	18132
405	12368	18095
406	12394	18058
407	12416	18016
408	12444	17981
409	12479	17958
410	12504	17920
411	12528	17880
412	12572	17869
413	12600	17836
414	12620	17789
415	12638	17742
416	12656	17695
417	12683	17659
418	12714	17630
419	12737	17589
420	12766	17557
421	12798	17529
422	12827	17497
423	12857	17466
424	12884	17431
425	12906	17391
426	12928	17348
427	12950	17307
428	12972	17266
429	12996	17228
430	13027	17198
431	13075	17191
432	13145	17213
433	13214	17233
434	13251	17211
435	13301	17205
436	13348	17196
437	13370	17156
438	13393	17115
439	13413	17071
440	13433	17027
441	13457	16989
442	13482	16951
443	13504	16911
444	13540	16887
445	13565	16850
446	13589	16812
447	13619	16781
448	13647	16747
449	13676	16716
450	13705	16684
451	13728	16643
452	13751	16604
453	13771	16561
454	13791	16519
455	13817	16484
456	13841	16446
457	13870	16414
458	13892	16374
459	13914	16334
460	13947	16306
461	13975	16274
462	14006	16245
463	14026	16203
464	14046	16160
465	14068	16121
466	14089	16080
467	14113	16043
468	14139	16008
469	14171	15980
470	14263	16019
471	14349	16052
472	14390	16033
473	14443	16027
474	14482	16007
475	14510	15973
476	14535	15937
477	14558	15898
478	14582	15861
479	14608	15826
480	14653	15811
481	14679	15775
482	14702	15737
483	14723	15696
484	14746	15658
485	14768	15619
486	14797	15587
487	14836	15566
488	14861	15529
489	14885	15493
490	14905	15452
491	14930	15415
492	14955	15379
493	14987	15351
494	15011	15315
495	15038	15280
496	15059	15240
497	15083	15205
498	15103	15163
499	15122	15122
500	15153	15092
501	15183	15062
502	15209	15027
503	15233	14992
504	15270	14968
505	15292	14929
506	15315	14892
507	15334	14851
508	15361	14817
509	15384	14780
510	15406	14743
511	15424	14701
512	15448	14665
513	15476	14633
514	15497	14594
515	15516	14554
516	15540	14518
517	15564	14483
518	15588	14447
519	15615	14413
520	15672	14408
521	15776	14446
522	15845	14452
523	15882	14427
524	15918	14402
525	15958	14380
526	15991	14353
527	16017	14318
528	16046	14287
529	16069	14249
530	16091	14212
531	16113	14174
532	16138	14140
533	16159	14101
534	16186	14068
535	16211	14033
536	16238	14000
537	16261	13964
538	16283	13927
539	16308	13892
540	16333	13857
541	16353	13819
542	16372	13779
543	16392	13740
544	16411	13701
545	16434	13665
546	16463	13634
547	16483	13595
548	16506	13560
549	16531	13526
550	16552	13487
551	16578	13455
552	16611	13427
553	16648	13402
554	16676	13370
555	16704	13339
556	16732	13307
557	16761	13277
558	16788	13244
559	16825	13219
560	16852	13187
561	16874	13151
562	16905	13122
563	16942	13097
564	16980	13073
565	17017	13048
566	17052	13022
567	17082	12992
568	17116	12964
569	17148	12936
570	17176	12904
571	17219	12884
572	17253	12857
573	17282	12826
574	17313	12796
575	17342	12765
576	17370	12734
577	17401	12705
578	17436	12678
579	17476	12655
580	17512	12629
581	17545	12601
582	17577	12572
583	17615	12547
584	17645	12517
585	17673	12486
586	17704	12456
587	17732	12424
588	17764	12395
589	17791	12363
590	17827	12337
591	17856	12306
592	17889	12278
593	17925	12251
594	17981	12239
595	18074	12251
596	18203	12288
597	18309	12308
598	18372	12299
599	18426	12284
600	18507	12287
601	18542	12258
602	18575	12229
603	18608	12200
604	18641	12170
605	18675	12142
606	18703	12109
607	18728	12074
608	18750	12038
609	18772	12001
610	18795	11966
611	18815	11928
612	18839	11893
613	18858	11855
614	18880	11819
615	18899	11781
616	18920	11744
617	18938	11706
618	18957	11668
619	18979	11632
620	19004	11598
621	19022	11560
622	19045	11525
623	19068	11489
624	19090	11454
625	19109	11416
626	19137	11384
627	19157	11348
628	19180	11313
629	19202	11277
630	19223	11241
631	19247	11207
632	19268	11171
633	19294	11138
634	19320	11105
635	19343	11070
636	19368	11037
637	19389	11001
638	19415	10968
639	19440	10935
640	19480	10910
641	19526	10888
642	19559	10859
643	19611	10841
644	19660	10820
645	19690	10790
646	19717	10757
647	19747	10726
648	19772	10693
649	19801	10662
650	19822	10626
651	19844	10591
652	19866	10556
653	19889	10522
654	19912	10488
655	19938	10455
656	19958	10419
657	19982	10385
658	20009	10354
659	20032	10319
660	20055	10285
661	20076	10250
662	20105	10219
663	20132	10187
664	20153	10152
665	20173	10116
666	20192	10081
667	20212	10045
668	20235	10012
669	20257	9977
670	20283	9945
671	20303	9910
672	20324	9875
673	20345	9840
674	20371	9808
675	20393	9774
676	20419	9742
677	20442	9708
678	20465	9675
679	20489	9642
680	20522	9613
681	20547	9580
682	20567	9545
683	20589	9512
684	20616	9480
685	20638	9446
686	20659	9412
687	20686	9381
688	20712	9349
689	20738	9317
690	20767	9286
691	20787	9252
692	20811	9219
693	20835	9186
694	20856	9152
695	20880	9120
696	20900	9085
697	20922	9052
698	20946	9019
699	21021	9009
700	21068	8986
701	21093	8954
702	21118	8921
703	21148	8891
704	21302	8913
705	21349	8890
706	21464	8895
707	21499	8867
708	21557	8848
709	21587	8817
710	21659	8804
711	21713	8782
712	21754	8756
713	21811	8736
714	21844	8707
715	21876	8677
716	21931	8656
717	21957	8623
718	21985	8592
719	22014	8561
720	22043	8529
721	22075	8499
722	22102	8467
723	22144	8441
724	22176	8411
725	22214	8383
726	22240	8351
727	22280	8324
728	22310	8293
729	22342	8263
730	22374	8233
731	22404	8202
732	22431	8170
733	22454	8137
734	22552	8131
735	22585	8101
736	22622	8072
737	22654	8042
738	22706	8019
739	22739	7989
740	22772	7959
741	22803	7929
742	22828	7896
743	22852	7863
744	22879	7831
745	22929	7807
746	22956	7774
747	22982	7742
748	23011	7711
749	23045	7681
750	23078	7651
751	23108	7620
752	23137	7589
753	23177	7562
754	23211	7532
755	23244	7502
756	23276	7471
757	23306	7440
758	23346	7413
759	23389	7386
760	23422	7355
761	23454	7325
